,ABBV_pred,AMGN_pred,AZN_pred,BIIB_pred,BMY_pred,CRXT_pred,GILD_pred,GRFS_pred,GSK_pred,HCM_pred,HZNP_pred,JNJ_pred,LLY_pred,MRK_pred,NVO_pred,NVS_pred,OGN_pred,PFE_pred,SNY_pred,TSVT_pred
2016-11-17,-0.019475372074859276,-0.013183863548327679,-0.00918278963306296,-0.04516372208300634,0.005278816279713272,-0.02016012525173808,-0.0018541431579333079,0.0006445462325594953,0.010606850010707713,0.04557334317455375,-0.005568498758936613,-0.014267260611208421,-0.11713957439251654,-0.007845561869054052,-0.023414577120361102,-0.0416609438633091,-0.0014833366342518737,-0.0012612221239902688,-0.028456672359745916,0.2821257827928777
2016-11-18,-0.017670005400237443,-0.001102173503753967,-0.014484892276165784,-0.042598022685786496,-0.004414209380064094,-0.02016012525173808,-0.0010730093952817654,0.018065110712633725,0.004712268892578919,0.05453738317770984,-0.010800740892709104,-0.019520120789009,-0.131837287532794,-0.0011318438809135856,0.003694642157307193,-0.02233119438284703,-0.0014833366342518737,0.0019043422843192381,-0.007522556141175141,0.2821257827928777
2016-11-21,0.019179383870415734,0.0030869069942154326,-0.023312798476600616,-0.05008378405592051,-0.00654313427244313,-0.02016012525173808,-0.0014684958388242464,0.021188537931061457,-0.004172149900966371,0.04002105164925762,-0.01882415705806295,-0.022156882725638205,-0.13219042465028252,-0.0017672171908151846,0.014468369770709089,-0.01682410016691982,-0.0014833366342518737,0.011025451462919111,0.006947843790459096,0.2821257827928777
2016-11-22,0.03123952924265705,-0.0018030149819932006,-0.011032914426212237,-0.07857932972479365,-0.00194731652940483,-0.02016012525173808,-0.010259440256687569,0.012230695140793113,-0.006593585025185256,0.09784228043887033,-0.06831931849748285,-0.012854889306829875,-0.12411975236202899,-0.008300204491953789,0.05568877586227883,0.009791870078406095,-0.0014833366342518737,0.02552523926541772,0.008493804214162903,0.2821257827928777
2016-11-23,-0.017094367347578743,-0.018370869572295945,-0.02146495032483431,-0.03374036306091455,-0.016881974211728323,-0.02016012525173808,-0.03321555042020652,-0.00194492143249958,-0.017741557350791748,0.08022629399489878,-0.1104940166091426,-0.015059321294888406,-0.03030760284828471,-0.01437930781161123,0.06082948141684197,-0.015524644601057513,-0.0014833366342518737,0.0012720532578738286,0.00707435044092497,0.2821257827928777
2016-11-25,-0.01800946923090674,-0.009812453392464171,-0.045676883119145195,-0.02659566629014609,-0.018063348132330237,-0.02016012525173808,-0.04085517638485925,-0.02412888955466741,-0.030305499726960505,0.13313354138775724,-0.07686798744268497,-0.01919657112740314,-0.020610385077740823,-0.017513126302030724,0.0560668570909022,-0.020472610143540848,-0.0014833366342518737,-0.0018953195955511148,0.004507913902703997,0.2821257827928777
2016-11-28,0.023272159920647795,0.0015152362423771493,-0.03463707446902964,-0.04566449092241687,-0.0171340337081336,-0.02016012525173808,-0.0296821297116443,-0.04590131478863979,-0.01632507118212656,0.13439639531443293,-0.07396271830227397,-0.010574544173541867,0.0008926008111078687,-0.025400897941572076,0.056167560969222485,-0.0015935952844641221,-0.0014833366342518737,0.0015840966745837015,0.029268091138988872,0.2821257827928777
2016-11-29,0.0004869165527559005,-0.006114434938095492,-0.0265568827350533,-0.03910044824402359,-0.0058726004428950596,-0.02016012525173808,-0.032580357854612885,-0.0590774285424609,-0.015271665725527406,0.13909279415634046,-0.040723037769416326,-0.003740952811320142,0.009633597602777044,-0.031193782699372008,0.07476262215381535,0.0,-0.0014833366342518737,-0.011342378389537,0.005425486297999882,0.2821257827928777
2016-11-30,-0.013411849926660668,-0.020192547444096043,-0.011156262717431087,-0.03027664371017824,-0.02149064107930254,-0.02016012525173808,-0.012561282804885998,-0.05822661360172843,-0.006371435277919613,0.06638831292880765,-0.02092446139127979,-0.0017986420695157435,0.0038663696068086395,-0.01863967152834345,0.04651997264302388,-0.002038292737005065,-0.0014833366342518737,-0.030003729072474616,0.00792866324323338,0.2821257827928777
2016-12-01,0.028987666696291825,-0.012721921188552088,0.01766557548158998,-0.021322444373601535,-0.010267428416304014,-0.02016012525173808,-0.011321440897075874,-0.031764238138539014,-0.0010693261313510227,0.061919448217793605,-0.2567700930972756,-0.0035075399531399043,0.01832446149924838,-0.010589122427644426,0.041453835118932414,-0.002364439787278627,-0.0014833366342518737,-0.01666700579893865,0.0012579731270658812,0.2821257827928777
