,ABBV,AMGN,AZN,BIIB,BMY,CRXT,GILD,GRFS,GSK,HCM,HZNP,JNJ,LLY,MRK,NVO,NVS,OGN,PFE,SNY,TSVT,DEXJPUS,DEXUSUK,SP500,DJIA,VIXCLS,ABBV_DT,ABBV_3DT,ABBV_6DT,ABBV_12DT,AMGN_DT,AMGN_3DT,AMGN_6DT,AMGN_12DT,AZN_DT,AZN_3DT,AZN_6DT,AZN_12DT,BIIB_DT,BIIB_3DT,BIIB_6DT,BIIB_12DT,BMY_DT,BMY_3DT,BMY_6DT,BMY_12DT,CRXT_DT,CRXT_3DT,CRXT_6DT,CRXT_12DT,GILD_DT,GILD_3DT,GILD_6DT,GILD_12DT,GRFS_DT,GRFS_3DT,GRFS_6DT,GRFS_12DT,GSK_DT,GSK_3DT,GSK_6DT,GSK_12DT,HCM_DT,HCM_3DT,HCM_6DT,HCM_12DT,HZNP_DT,HZNP_3DT,HZNP_6DT,HZNP_12DT,JNJ_DT,JNJ_3DT,JNJ_6DT,JNJ_12DT,LLY_DT,LLY_3DT,LLY_6DT,LLY_12DT,MRK_DT,MRK_3DT,MRK_6DT,MRK_12DT,NVO_DT,NVO_3DT,NVO_6DT,NVO_12DT,NVS_DT,NVS_3DT,NVS_6DT,NVS_12DT,OGN_DT,OGN_3DT,OGN_6DT,OGN_12DT,PFE_DT,PFE_3DT,PFE_6DT,PFE_12DT,SNY_DT,SNY_3DT,SNY_6DT,SNY_12DT
2016-11-17,0.003549632223726949,0.0020155792849020308,0.003926590337178213,-0.0006619643987879743,0.0007758839401009013,-0.02016012525173808,0.0002671325134994603,-0.0005481892772690829,0.0014729276635680967,0.0036435745553263384,0.006470143684976744,0.0019310361222249742,0.0053998159787711835,0.002002772483309851,0.005444724018559929,0.0018064516204828705,-0.0014833366342518737,0.002776036959689414,0.0017526992609431485,0.2821257827928777,0.00018562061271803126,-3.460969298689564e-05,0.0026521995742960543,0.00221988630855243,0.0017001304610875147,0.0036514958136941375,0.010787483842841063,0.020557062622114503,0.04081548057582768,0.0015004535031464636,0.004989534995145948,0.010342462401719547,0.023785820881250253,0.003748265290563222,0.012119267223522157,0.02395992625417099,0.047754796277622705,-0.0001245075252565498,-0.00014811960231620773,-0.0005934061681157234,0.0005758512644499157,0.0011307859572607876,0.0037281640225141845,0.005881202500908942,0.011707666411977815,-0.027761915335031622,-0.08554463038649934,-0.1757718615870005,-0.25561429548103937,0.000735649193015676,0.0014427857649798143,0.0025120510549319222,0.005749569575510444,-0.0010988026419430502,-0.0027034403769875563,-0.003745947119855147,-0.002224279803498367,0.0013480846258611986,0.004123847683232502,0.007229239229430967,0.014473333223502114,0.0034317485081156933,0.009973747456438982,0.02054753295105736,0.04599831104463898,0.007841784543385267,0.024063691646914596,0.04779908144366026,0.09305299042720508,0.0019976561229727496,0.006123186521361184,0.011962507484049178,0.024703727213733363,0.005466190699592797,0.016522679686961618,0.03212017705066775,0.06543830420876899,0.0018905011740913082,0.0061142217690436755,0.01191286493990467,0.021970034051737673,0.005420618332821948,0.016000233139913528,0.030378882328503727,0.059769298653850035,0.0015971725185131363,0.00510165790417489,0.010468271259785975,0.022829735404281636,0.012098108177247336,0.042941474722388365,0.07440052873150475,0.08808686619096188,0.0027385285729577343,0.007621459561948523,0.013812857104996515,0.028137978368873495,0.0016043715565668211,0.005225085295689122,0.00995431063058787,0.02028035904544906
2016-11-18,0.003549632223726949,0.0020155792849020308,0.003926590337178213,-0.0006619643987879743,0.0007758839401009013,-0.02016012525173808,0.0002671325134994603,-0.0005481892772690829,0.0014729276635680967,0.0036435745553263384,0.006470143684976744,0.0019310361222249742,0.0053998159787711835,0.002002772483309851,0.005444724018559929,0.0018064516204828705,-0.0014833366342518737,0.002776036959689414,0.0017526992609431485,0.2821257827928777,0.00018562061271803126,-3.460969298689564e-05,0.0026521995742960543,0.00221988630855243,0.0017001304610875147,0.0036514958136941375,0.010787483842841063,0.020557062622114503,0.04081548057582768,0.0015004535031464636,0.004989534995145948,0.010342462401719547,0.023785820881250253,0.003748265290563222,0.012119267223522157,0.02395992625417099,0.047754796277622705,-0.0001245075252565498,-0.00014811960231620773,-0.0005934061681157234,0.0005758512644499157,0.0011307859572607876,0.0037281640225141845,0.005881202500908942,0.011707666411977815,-0.027761915335031622,-0.08554463038649934,-0.1757718615870005,-0.25561429548103937,0.000735649193015676,0.0014427857649798143,0.0025120510549319222,0.005749569575510444,-0.0010988026419430502,-0.0027034403769875563,-0.003745947119855147,-0.002224279803498367,0.0013480846258611986,0.004123847683232502,0.007229239229430967,0.014473333223502114,0.0034317485081156933,0.009973747456438982,0.02054753295105736,0.04599831104463898,0.007841784543385267,0.024063691646914596,0.04779908144366026,0.09305299042720508,0.0019976561229727496,0.006123186521361184,0.011962507484049178,0.024703727213733363,0.005466190699592797,0.016522679686961618,0.03212017705066775,0.06543830420876899,0.0018905011740913082,0.0061142217690436755,0.01191286493990467,0.021970034051737673,0.005420618332821948,0.016000233139913528,0.030378882328503727,0.059769298653850035,0.0015971725185131363,0.00510165790417489,0.010468271259785975,0.022829735404281636,0.012098108177247336,0.042941474722388365,0.07440052873150475,0.08808686619096188,0.0027385285729577343,0.007621459561948523,0.013812857104996515,0.028137978368873495,0.0016043715565668211,0.005225085295689122,0.00995431063058787,0.02028035904544906
2016-11-21,0.003549632223726949,0.0020155792849020308,0.003926590337178213,-0.0006619643987879743,0.0007758839401009013,-0.02016012525173808,0.0002671325134994603,-0.0005481892772690829,0.0014729276635680967,0.0036435745553263384,0.006470143684976744,0.0019310361222249742,0.0053998159787711835,0.002002772483309851,0.005444724018559929,0.0018064516204828705,-0.0014833366342518737,0.002776036959689414,0.0017526992609431485,0.2821257827928777,0.00018562061271803126,-3.460969298689564e-05,0.0026521995742960543,0.00221988630855243,0.0017001304610875147,0.0036514958136941375,0.010787483842841063,0.020557062622114503,0.04081548057582768,0.0015004535031464636,0.004989534995145948,0.010342462401719547,0.023785820881250253,0.003748265290563222,0.012119267223522157,0.02395992625417099,0.047754796277622705,-0.0001245075252565498,-0.00014811960231620773,-0.0005934061681157234,0.0005758512644499157,0.0011307859572607876,0.0037281640225141845,0.005881202500908942,0.011707666411977815,-0.027761915335031622,-0.08554463038649934,-0.1757718615870005,-0.25561429548103937,0.000735649193015676,0.0014427857649798143,0.0025120510549319222,0.005749569575510444,-0.0010988026419430502,-0.0027034403769875563,-0.003745947119855147,-0.002224279803498367,0.0013480846258611986,0.004123847683232502,0.007229239229430967,0.014473333223502114,0.0034317485081156933,0.009973747456438982,0.02054753295105736,0.04599831104463898,0.007841784543385267,0.024063691646914596,0.04779908144366026,0.09305299042720508,0.0019976561229727496,0.006123186521361184,0.011962507484049178,0.024703727213733363,0.005466190699592797,0.016522679686961618,0.03212017705066775,0.06543830420876899,0.0018905011740913082,0.0061142217690436755,0.01191286493990467,0.021970034051737673,0.005420618332821948,0.016000233139913528,0.030378882328503727,0.059769298653850035,0.0015971725185131363,0.00510165790417489,0.010468271259785975,0.022829735404281636,0.012098108177247336,0.042941474722388365,0.07440052873150475,0.08808686619096188,0.0027385285729577343,0.007621459561948523,0.013812857104996515,0.028137978368873495,0.0016043715565668211,0.005225085295689122,0.00995431063058787,0.02028035904544906
2016-11-22,0.003549632223726949,0.0020155792849020308,0.003926590337178213,-0.0006619643987879743,0.0007758839401009013,-0.02016012525173808,0.0002671325134994603,-0.0005481892772690829,0.0014729276635680967,0.0036435745553263384,0.006470143684976744,0.0019310361222249742,0.0053998159787711835,0.002002772483309851,0.005444724018559929,0.0018064516204828705,-0.0014833366342518737,0.002776036959689414,0.0017526992609431485,0.2821257827928777,0.00018562061271803126,-3.460969298689564e-05,0.0026521995742960543,0.00221988630855243,0.0017001304610875147,0.0036514958136941375,0.010787483842841063,0.020557062622114503,0.04081548057582768,0.0015004535031464636,0.004989534995145948,0.010342462401719547,0.023785820881250253,0.003748265290563222,0.012119267223522157,0.02395992625417099,0.047754796277622705,-0.0001245075252565498,-0.00014811960231620773,-0.0005934061681157234,0.0005758512644499157,0.0011307859572607876,0.0037281640225141845,0.005881202500908942,0.011707666411977815,-0.027761915335031622,-0.08554463038649934,-0.1757718615870005,-0.25561429548103937,0.000735649193015676,0.0014427857649798143,0.0025120510549319222,0.005749569575510444,-0.0010988026419430502,-0.0027034403769875563,-0.003745947119855147,-0.002224279803498367,0.0013480846258611986,0.004123847683232502,0.007229239229430967,0.014473333223502114,0.0034317485081156933,0.009973747456438982,0.02054753295105736,0.04599831104463898,0.007841784543385267,0.024063691646914596,0.04779908144366026,0.09305299042720508,0.0019976561229727496,0.006123186521361184,0.011962507484049178,0.024703727213733363,0.005466190699592797,0.016522679686961618,0.03212017705066775,0.06543830420876899,0.0018905011740913082,0.0061142217690436755,0.01191286493990467,0.021970034051737673,0.005420618332821948,0.016000233139913528,0.030378882328503727,0.059769298653850035,0.0015971725185131363,0.00510165790417489,0.010468271259785975,0.022829735404281636,0.012098108177247336,0.042941474722388365,0.07440052873150475,0.08808686619096188,0.0027385285729577343,0.007621459561948523,0.013812857104996515,0.028137978368873495,0.0016043715565668211,0.005225085295689122,0.00995431063058787,0.02028035904544906
2016-11-23,0.003549632223726949,0.0020155792849020308,0.003926590337178213,-0.0006619643987879743,0.0007758839401009013,-0.02016012525173808,0.0002671325134994603,-0.0005481892772690829,0.0014729276635680967,0.0036435745553263384,0.006470143684976744,0.0019310361222249742,0.0053998159787711835,0.002002772483309851,0.005444724018559929,0.0018064516204828705,-0.0014833366342518737,0.002776036959689414,0.0017526992609431485,0.2821257827928777,0.00018562061271803126,-3.460969298689564e-05,0.0026521995742960543,0.00221988630855243,0.0017001304610875147,0.0036514958136941375,0.010787483842841063,0.020557062622114503,0.04081548057582768,0.0015004535031464636,0.004989534995145948,0.010342462401719547,0.023785820881250253,0.003748265290563222,0.012119267223522157,0.02395992625417099,0.047754796277622705,-0.0001245075252565498,-0.00014811960231620773,-0.0005934061681157234,0.0005758512644499157,0.0011307859572607876,0.0037281640225141845,0.005881202500908942,0.011707666411977815,-0.027761915335031622,-0.08554463038649934,-0.1757718615870005,-0.25561429548103937,0.000735649193015676,0.0014427857649798143,0.0025120510549319222,0.005749569575510444,-0.0010988026419430502,-0.0027034403769875563,-0.003745947119855147,-0.002224279803498367,0.0013480846258611986,0.004123847683232502,0.007229239229430967,0.014473333223502114,0.0034317485081156933,0.009973747456438982,0.02054753295105736,0.04599831104463898,0.007841784543385267,0.024063691646914596,0.04779908144366026,0.09305299042720508,0.0019976561229727496,0.006123186521361184,0.011962507484049178,0.024703727213733363,0.005466190699592797,0.016522679686961618,0.03212017705066775,0.06543830420876899,0.0018905011740913082,0.0061142217690436755,0.01191286493990467,0.021970034051737673,0.005420618332821948,0.016000233139913528,0.030378882328503727,0.059769298653850035,0.0015971725185131363,0.00510165790417489,0.010468271259785975,0.022829735404281636,0.012098108177247336,0.042941474722388365,0.07440052873150475,0.08808686619096188,0.0027385285729577343,0.007621459561948523,0.013812857104996515,0.028137978368873495,0.0016043715565668211,0.005225085295689122,0.00995431063058787,0.02028035904544906
2016-11-24,0.003549632223726949,0.0020155792849020308,0.003926590337178213,-0.0006619643987879743,0.0007758839401009013,-0.02016012525173808,0.0002671325134994603,-0.0005481892772690829,0.0014729276635680967,0.0036435745553263384,0.006470143684976744,0.0019310361222249742,0.0053998159787711835,0.002002772483309851,0.005444724018559929,0.0018064516204828705,-0.0014833366342518737,0.002776036959689414,0.0017526992609431485,0.2821257827928777,0.00018562061271803126,-3.460969298689564e-05,0.0026521995742960543,0.00221988630855243,0.0017001304610875147,0.0036514958136941375,0.010787483842841063,0.020557062622114503,0.04081548057582768,0.0015004535031464636,0.004989534995145948,0.010342462401719547,0.023785820881250253,0.003748265290563222,0.012119267223522157,0.02395992625417099,0.047754796277622705,-0.0001245075252565498,-0.00014811960231620773,-0.0005934061681157234,0.0005758512644499157,0.0011307859572607876,0.0037281640225141845,0.005881202500908942,0.011707666411977815,-0.027761915335031622,-0.08554463038649934,-0.1757718615870005,-0.25561429548103937,0.000735649193015676,0.0014427857649798143,0.0025120510549319222,0.005749569575510444,-0.0010988026419430502,-0.0027034403769875563,-0.003745947119855147,-0.002224279803498367,0.0013480846258611986,0.004123847683232502,0.007229239229430967,0.014473333223502114,0.0034317485081156933,0.009973747456438982,0.02054753295105736,0.04599831104463898,0.007841784543385267,0.024063691646914596,0.04779908144366026,0.09305299042720508,0.0019976561229727496,0.006123186521361184,0.011962507484049178,0.024703727213733363,0.005466190699592797,0.016522679686961618,0.03212017705066775,0.06543830420876899,0.0018905011740913082,0.0061142217690436755,0.01191286493990467,0.021970034051737673,0.005420618332821948,0.016000233139913528,0.030378882328503727,0.059769298653850035,0.0015971725185131363,0.00510165790417489,0.010468271259785975,0.022829735404281636,0.012098108177247336,0.042941474722388365,0.07440052873150475,0.08808686619096188,0.0027385285729577343,0.007621459561948523,0.013812857104996515,0.028137978368873495,0.0016043715565668211,0.005225085295689122,0.00995431063058787,0.02028035904544906
2016-11-25,-0.019475372074859276,-0.013183863548327679,-0.00918278963306296,-0.04516372208300634,0.005278816279713272,-0.02016012525173808,-0.0018541431579333079,0.0006445462325594953,0.010606850010707713,0.04557334317455375,-0.005568498758936613,-0.014267260611208421,-0.11713957439251654,-0.007845561869054052,-0.023414577120361102,-0.0416609438633091,-0.0014833366342518737,-0.0012612221239902688,-0.028456672359745916,0.2821257827928777,0.02378509837715903,0.010892035552647922,0.014311148065895729,0.01495080330044729,-0.040497792863987137,0.0036514958136941375,0.010787483842841063,0.020557062622114503,0.04081548057582768,0.0015004535031464636,0.004989534995145948,0.010342462401719547,0.023785820881250253,0.003748265290563222,0.012119267223522157,0.02395992625417099,0.047754796277622705,-0.0001245075252565498,-0.00014811960231620773,-0.0005934061681157234,0.0005758512644499157,0.0011307859572607876,0.0037281640225141845,0.005881202500908942,0.011707666411977815,-0.027761915335031622,-0.08554463038649934,-0.1757718615870005,-0.25561429548103937,0.000735649193015676,0.0014427857649798143,0.0025120510549319222,0.005749569575510444,-0.0010988026419430502,-0.0027034403769875563,-0.003745947119855147,-0.002224279803498367,0.0013480846258611986,0.004123847683232502,0.007229239229430967,0.014473333223502114,0.0034317485081156933,0.009973747456438982,0.02054753295105736,0.04599831104463898,0.007841784543385267,0.024063691646914596,0.04779908144366026,0.09305299042720508,0.0019976561229727496,0.006123186521361184,0.011962507484049178,0.024703727213733363,0.005466190699592797,0.016522679686961618,0.03212017705066775,0.06543830420876899,0.0018905011740913082,0.0061142217690436755,0.01191286493990467,0.021970034051737673,0.005420618332821948,0.016000233139913528,0.030378882328503727,0.059769298653850035,0.0015971725185131363,0.00510165790417489,0.010468271259785975,0.022829735404281636,0.012098108177247336,0.042941474722388365,0.07440052873150475,0.08808686619096188,0.0027385285729577343,0.007621459561948523,0.013812857104996515,0.028137978368873495,0.0016043715565668211,0.005225085295689122,0.00995431063058787,0.02028035904544906
2016-11-28,-0.017670005400237443,-0.001102173503753967,-0.014484892276165784,-0.042598022685786496,-0.004414209380064094,-0.02016012525173808,-0.0010730093952817654,0.018065110712633725,0.004712268892578919,0.05453738317770984,-0.010800740892709104,-0.019520120789009,-0.131837287532794,-0.0011318438809135856,0.003694642157307193,-0.02233119438284703,-0.0014833366342518737,0.0019043422843192381,-0.007522556141175141,0.2821257827928777,0.011097303789954438,-0.005063301956546695,0.0016091278273782095,0.007421477836640378,0.05711368211844059,0.0036514958136941375,0.010787483842841063,0.020557062622114503,0.04081548057582768,0.0015004535031464636,0.004989534995145948,0.010342462401719547,0.023785820881250253,0.003748265290563222,0.012119267223522157,0.02395992625417099,0.047754796277622705,-0.0001245075252565498,-0.00014811960231620773,-0.0005934061681157234,0.0005758512644499157,0.0011307859572607876,0.0037281640225141845,0.005881202500908942,0.011707666411977815,-0.027761915335031622,-0.08554463038649934,-0.1757718615870005,-0.25561429548103937,0.000735649193015676,0.0014427857649798143,0.0025120510549319222,0.005749569575510444,-0.0010988026419430502,-0.0027034403769875563,-0.003745947119855147,-0.002224279803498367,0.0013480846258611986,0.004123847683232502,0.007229239229430967,0.014473333223502114,0.0034317485081156933,0.009973747456438982,0.02054753295105736,0.04599831104463898,0.007841784543385267,0.024063691646914596,0.04779908144366026,0.09305299042720508,0.0019976561229727496,0.006123186521361184,0.011962507484049178,0.024703727213733363,0.005466190699592797,0.016522679686961618,0.03212017705066775,0.06543830420876899,0.0018905011740913082,0.0061142217690436755,0.01191286493990467,0.021970034051737673,0.005420618332821948,0.016000233139913528,0.030378882328503727,0.059769298653850035,0.0015971725185131363,0.00510165790417489,0.010468271259785975,0.022829735404281636,0.012098108177247336,0.042941474722388365,0.07440052873150475,0.08808686619096188,0.0027385285729577343,0.007621459561948523,0.013812857104996515,0.028137978368873495,0.0016043715565668211,0.005225085295689122,0.00995431063058787,0.02028035904544906
2016-11-29,0.019179383870415734,0.0030869069942154326,-0.023312798476600616,-0.05008378405592051,-0.00654313427244313,-0.02016012525173808,-0.0014684958388242464,0.021188537931061457,-0.004172149900966371,0.04002105164925762,-0.01882415705806295,-0.022156882725638205,-0.13219042465028252,-0.0017672171908151846,0.014468369770709089,-0.01682410016691982,-0.0014833366342518737,0.011025451462919111,0.006947843790459096,0.2821257827928777,0.016089013481281,0.006498478483196429,0.0007804701367231104,0.005124079678909155,0.03872471215111073,0.0036514958136941375,0.010787483842841063,0.020557062622114503,0.04081548057582768,0.0015004535031464636,0.004989534995145948,0.010342462401719547,0.023785820881250253,0.003748265290563222,0.012119267223522157,0.02395992625417099,0.047754796277622705,-0.0001245075252565498,-0.00014811960231620773,-0.0005934061681157234,0.0005758512644499157,0.0011307859572607876,0.0037281640225141845,0.005881202500908942,0.011707666411977815,-0.027761915335031622,-0.08554463038649934,-0.1757718615870005,-0.25561429548103937,0.000735649193015676,0.0014427857649798143,0.0025120510549319222,0.005749569575510444,-0.0010988026419430502,-0.0027034403769875563,-0.003745947119855147,-0.002224279803498367,0.0013480846258611986,0.004123847683232502,0.007229239229430967,0.014473333223502114,0.0034317485081156933,0.009973747456438982,0.02054753295105736,0.04599831104463898,0.007841784543385267,0.024063691646914596,0.04779908144366026,0.09305299042720508,0.0019976561229727496,0.006123186521361184,0.011962507484049178,0.024703727213733363,0.005466190699592797,0.016522679686961618,0.03212017705066775,0.06543830420876899,0.0018905011740913082,0.0061142217690436755,0.01191286493990467,0.021970034051737673,0.005420618332821948,0.016000233139913528,0.030378882328503727,0.059769298653850035,0.0015971725185131363,0.00510165790417489,0.010468271259785975,0.022829735404281636,0.012098108177247336,0.042941474722388365,0.07440052873150475,0.08808686619096188,0.0027385285729577343,0.007621459561948523,0.013812857104996515,0.028137978368873495,0.0016043715565668211,0.005225085295689122,0.00995431063058787,0.02028035904544906
2016-11-30,0.03123952924265705,-0.0018030149819932006,-0.011032914426212237,-0.07857932972479365,-0.00194731652940483,-0.02016012525173808,-0.010259440256687569,0.012230695140793113,-0.006593585025185256,0.09784228043887033,-0.06831931849748285,-0.012854889306829875,-0.12411975236202899,-0.008300204491953789,0.05568877586227883,0.009791870078406095,-0.0014833366342518737,0.02552523926541772,0.008493804214162903,0.2821257827928777,0.015512385799945072,0.00184450110436285,-0.0026842117793943743,0.0021148097905783203,0.06990422866799761,0.0036514958136941375,0.010787483842841063,0.020557062622114503,0.04081548057582768,0.0015004535031464636,0.004989534995145948,0.010342462401719547,0.023785820881250253,0.003748265290563222,0.012119267223522157,0.02395992625417099,0.047754796277622705,-0.0001245075252565498,-0.00014811960231620773,-0.0005934061681157234,0.0005758512644499157,0.0011307859572607876,0.0037281640225141845,0.005881202500908942,0.011707666411977815,-0.027761915335031622,-0.08554463038649934,-0.1757718615870005,-0.25561429548103937,0.000735649193015676,0.0014427857649798143,0.0025120510549319222,0.005749569575510444,-0.0010988026419430502,-0.0027034403769875563,-0.003745947119855147,-0.002224279803498367,0.0013480846258611986,0.004123847683232502,0.007229239229430967,0.014473333223502114,0.0034317485081156933,0.009973747456438982,0.02054753295105736,0.04599831104463898,0.007841784543385267,0.024063691646914596,0.04779908144366026,0.09305299042720508,0.0019976561229727496,0.006123186521361184,0.011962507484049178,0.024703727213733363,0.005466190699592797,0.016522679686961618,0.03212017705066775,0.06543830420876899,0.0018905011740913082,0.0061142217690436755,0.01191286493990467,0.021970034051737673,0.005420618332821948,0.016000233139913528,0.030378882328503727,0.059769298653850035,0.0015971725185131363,0.00510165790417489,0.010468271259785975,0.022829735404281636,0.012098108177247336,0.042941474722388365,0.07440052873150475,0.08808686619096188,0.0027385285729577343,0.007621459561948523,0.013812857104996515,0.028137978368873495,0.0016043715565668211,0.005225085295689122,0.00995431063058787,0.02028035904544906
